index,artist,genre,style
0,vincent-van-gogh,landscape,Realism
1,rembrandt,religious_painting,Baroque
2,paul-cezanne,portrait,Post_Impressionism
3,pierre-auguste-renoir,genre_painting,Impressionism
4,ivan-aivazovsky,Unknown Genre,Romanticism
5,boris-kustodiev,genre_painting,Art_Nouveau
6,vincent-van-gogh,Unknown Genre,Realism
7,ivan-aivazovsky,landscape,Romanticism
8,albrecht-durer,religious_painting,Northern_Renaissance
9,john-singer-sargent,portrait,Realism
10,ivan-aivazovsky,landscape,Romanticism
11,nicholas-roerich,genre_painting,Symbolism
12,nicholas-roerich,landscape,Symbolism
13,boris-kustodiev,portrait,Realism
14,pierre-auguste-renoir,portrait,Impressionism
15,marc-chagall,still_life,Naive_Art_Primitivism
16,vincent-van-gogh,sketch_and_study,Realism
17,gustave-dore,illustration,Romanticism
18,ivan-aivazovsky,landscape,Romanticism
19,gustave-dore,illustration,Romanticism
20,rembrandt,sketch_and_study,Baroque
21,pyotr-konchalovsky,landscape,Realism
22,pierre-auguste-renoir,cityscape,Impressionism
23,martiros-saryan,sketch_and_study,Expressionism
24,rembrandt,portrait,Baroque
25,claude-monet,cityscape,Impressionism
26,nicholas-roerich,landscape,Symbolism
27,martiros-saryan,Unknown Genre,Expressionism
28,ivan-shishkin,sketch_and_study,Realism
29,vincent-van-gogh,nude_painting,Realism
30,vincent-van-gogh,portrait,Realism
31,albrecht-durer,religious_painting,Northern_Renaissance
32,paul-cezanne,still_life,Post_Impressionism
33,marc-chagall,Unknown Genre,Naive_Art_Primitivism
34,pablo-picasso,portrait,Expressionism
35,ivan-aivazovsky,landscape,Romanticism
36,marc-chagall,religious_painting,Naive_Art_Primitivism
37,nicholas-roerich,Unknown Genre,Art_Nouveau
38,raphael-kirchner,nude_painting,Art_Nouveau
39,rembrandt,portrait,Baroque
40,pierre-auguste-renoir,still_life,Impressionism
41,ilya-repin,portrait,Realism
42,nicholas-roerich,sketch_and_study,Symbolism
43,eugene-boudin,landscape,Impressionism
44,pierre-auguste-renoir,still_life,Impressionism
45,salvador-dali,genre_painting,Expressionism
46,albrecht-durer,portrait,Northern_Renaissance
47,paul-cezanne,landscape,Post_Impressionism
48,vincent-van-gogh,sketch_and_study,Realism
49,pablo-picasso,genre_painting,Post_Impressionism
50,paul-cezanne,portrait,Post_Impressionism
51,raphael-kirchner,genre_painting,Art_Nouveau
52,vincent-van-gogh,sketch_and_study,Realism
53,salvador-dali,Unknown Genre,Impressionism
54,paul-cezanne,landscape,Post_Impressionism
55,rembrandt,portrait,Baroque
56,boris-kustodiev,cityscape,Realism
57,paul-cezanne,landscape,Impressionism
58,boris-kustodiev,nude_painting,Realism
59,nicholas-roerich,landscape,Symbolism
60,albrecht-durer,portrait,Northern_Renaissance
61,albrecht-durer,genre_painting,Northern_Renaissance
62,gustave-dore,illustration,Romanticism
63,nicholas-roerich,Unknown Genre,Art_Nouveau
64,john-singer-sargent,genre_painting,Realism
65,ivan-aivazovsky,Unknown Genre,Romanticism
66,gustave-dore,illustration,Romanticism
67,pierre-auguste-renoir,portrait,Impressionism
68,marc-chagall,genre_painting,Naive_Art_Primitivism
69,ilya-repin,religious_painting,Realism
70,albrecht-durer,portrait,Northern_Renaissance
71,claude-monet,landscape,Impressionism
72,vincent-van-gogh,genre_painting,Realism
73,salvador-dali,religious_painting,Symbolism
74,edgar-degas,portrait,Impressionism
75,pierre-auguste-renoir,portrait,Impressionism
76,childe-hassam,cityscape,Impressionism
77,paul-cezanne,landscape,Impressionism
78,claude-monet,landscape,Impressionism
79,camille-pissarro,cityscape,Impressionism
80,vincent-van-gogh,landscape,Post_Impressionism
81,claude-monet,genre_painting,Impressionism
82,gustave-dore,illustration,Romanticism
83,nicholas-roerich,landscape,Symbolism
84,pierre-auguste-renoir,Unknown Genre,Impressionism
85,claude-monet,cityscape,Impressionism
86,john-singer-sargent,cityscape,Impressionism
87,pyotr-konchalovsky,genre_painting,Post_Impressionism
88,boris-kustodiev,cityscape,Art_Nouveau
89,pierre-auguste-renoir,nude_painting,Impressionism
90,paul-cezanne,genre_painting,Impressionism
91,marc-chagall,Unknown Genre,Expressionism
92,edgar-degas,landscape,Impressionism
