Object_ID,Title,Artist_Display_Name,Object_Date,Department
684911,Shield,,17th century,Arms and Armor
156537,Hat,Sally Victor,1935,Costume Institute
479227,Glass Fragments,,4th–7th century,Medieval Art
664015,"Card 2, Lion, from the Animals series (N385, Type 1), issued by Spaulding & Merrick to promote Sweet F.O.B. Tobacco",Spaulding & Merrick,1889–90,Drawings and Prints
449648,Bowl,,9th–10th century,Islamic Art
200548,Secretary desk,,last quarter 18th century,European Sculpture and Decorative Arts
773821,Terracotta rim fragments of kylikes (drinking cups),,6th/5th centuries BCE,Greek and Roman Art
282479,[Walker Evans Jr. Seated in Field],Unknown,ca. 1915,Photographs
415636,The Presentation of the Virgin in the Temple,Cornelis Cort|Taddeo Zuccaro|Giovanni Orlandi,1570,Drawings and Prints
428786,Reverse Copy of Madame Bouthillier (Marie de Bragelogne),Robert Nanteuil|Anonymous,ca. 1815,Drawings and Prints
